node_id,original_id,public,gender,age,region,completion_percentage
78,1848,1,0,19,"zilinsky kraj, martin",74
75,1821,1,0,20,"zilinsky kraj, zilina",26
82,1891,1,1,0,"bratislavsky kraj, bratislava - stare mesto",79
79,1852,1,1,0,"zilinsky kraj, cadca",79
72,1757,1,0,19,"zilinsky kraj, martin",74
67,1605,0,0,18,"zilinsky kraj, cadca",16
73,1765,1,0,20,"zilinsky kraj, zilina",81
84,1937,1,0,22,"zilinsky kraj, zilina",12
74,1810,1,0,0,"zilinsky kraj, zilina",12
77,1838,1,0,18,"zilinsky kraj, cadca",83
83,1919,1,0,19,"zilinsky kraj, turzovka",59
80,1886,1,1,24,"zilinsky kraj, kysucke nove mesto",69
76,1830,0,1,0,"zahranicie, zahranicie - gb",12
81,1888,1,1,0,"zilinsky kraj, zilina",69
85,2079,1,0,16,"zilinsky kraj, cadca",22
86,2099,1,0,19,"trenciansky kraj, ilava",78
92,2192,1,1,22,"zilinsky kraj, cadca",71
93,2221,1,1,0,"presovsky kraj, bardejov",52
90,2170,1,1,0,"kosicky kraj, kosice - krasna nad hornadom",69
91,2187,1,1,0,"zahranicie, zahranicie - ostatne",62
87,2134,1,0,0,"zilinsky kraj, bytca",50
95,2257,1,0,22,"ceska republika, cz - ostravsky kraj",67
94,2230,1,1,27,"trnavsky kraj, senica",78
88,2136,0,0,16,"zilinsky kraj, zilina",83
96,2261,1,0,23,"trenciansky kraj, povazska bystrica",16
89,2143,1,0,0,"zilinsky kraj, zilina",79
98,2305,1,0,0,"kosicky kraj, sobrance",14
101,2352,1,0,20,"zilinsky kraj, zilina",71
97,2271,0,1,24,"zilinsky kraj, zilina",71
99,2308,1,1,21,"zilinsky kraj, turzovka",81
100,2323,1,0,18,"zilinsky kraj, zilina",76
105,2522,1,1,19,"zilinsky kraj, kysucke nove mesto",78
102,2431,1,1,21,"banskobystricky kraj, lucenec",64
107,2614,1,0,21,"kosicky kraj, spisska nova ves",69
103,2504,1,0,0,"zilinsky kraj, bytca",79
104,2521,1,0,0,"zilinsky kraj, kysucke nove mesto",60
106,2608,1,0,18,"zilinsky kraj, zilina",60
108,2625,1,0,19,"zilinsky kraj, zilina",76
109,2796,1,0,31,"zilinsky kraj, zilina",12
113,2867,1,1,21,"zilinsky kraj, bytca",71
114,2897,1,0,0,"zilinsky kraj, zilina",12
115,2914,1,0,19,"zahranicie, zahranicie - francuzsko",38
117,2930,1,0,17,"zilinsky kraj, cadca",38
118,2933,1,0,0,"zilinsky kraj, cadca",86
112,2863,1,0,18,"zilinsky kraj, kysucke nove mesto",36
110,2843,1,0,22,"zahranicie, zahranicie - ostatne",71
119,2978,1,0,0,"zahranicie, zahranicie - usa",12
120,2981,1,0,17,"zilinsky kraj, kysucke nove mesto",29
121,3063,1,0,0,"zilinsky kraj, kysucke nove mesto",71
116,2921,1,1,0,"zahranicie, zahranicie - australia",74
128,3139,1,1,20,"zilinsky kraj, zilina",69
124,3113,0,0,0,"zilinsky kraj, zilina",83
129,3158,1,0,16,"zilinsky kraj, zilina",86
111,2850,1,0,17,"zilinsky kraj, rajecke teplice",79
131,3168,1,0,0,"zilinsky kraj, zilina",78
132,3170,1,0,17,"zilinsky kraj, zilina",66
122,3070,1,0,0,"zilinsky kraj, zilina",52
133,3172,1,0,17,"kosicky kraj, trebisov",71
123,3072,1,0,19,"zilinsky kraj, zilina",16
130,3162,0,0,0,"bratislavsky kraj, bratislava - petrzalka",29
125,3126,1,0,18,"kosicky kraj, roznava",28
137,3272,1,0,0,"zilinsky kraj, cadca",26
126,3130,0,0,0,"nitriansky kraj, levice",45
127,3131,1,0,18,"zilinsky kraj, zilina",40
138,3273,1,0,0,"zilinsky kraj, cadca",24
139,3291,0,0,0,"zahranicie, zahranicie - usa",95
140,3335,1,1,19,"zilinsky kraj, zilina",21
134,3232,1,0,18,"banskobystricky kraj, banska bystrica",83
143,3363,1,0,22,"zilinsky kraj, zilina",14
135,3234,1,0,0,"zilinsky kraj, zilina",67
141,3349,1,0,0,"zilinsky kraj, zilina",38
136,3268,1,1,21,"zilinsky kraj, cadca",76
142,3361,1,1,19,"zilinsky kraj, bytca",69
145,3413,1,0,21,"zilinsky kraj, zilina",67
147,3427,1,1,22,"zilinsky kraj, zilina",19
151,3467,1,1,20,"zilinsky kraj, kysucke nove mesto",71
146,3417,1,0,20,"trnavsky kraj, trnava",41
154,3529,0,1,19,"zilinsky kraj, cadca",95
156,3542,1,0,19,"zilinsky kraj, ruzomberok",74
158,3557,1,0,18,"zilinsky kraj, kysucke nove mesto",40
159,3558,1,0,18,"zahranicie, zahranicie - francuzsko",64
153,3503,1,0,18,"banskobystricky kraj, brezno",79
155,3532,1,1,20,"zilinsky kraj, zilina",55
160,3561,1,0,18,"zilinsky kraj, kysucke nove mesto",31
144,3389,1,0,20,"zilinsky kraj, bytca",69
148,3461,1,0,18,"zilinsky kraj, zilina",17
149,3464,1,0,20,"kosicky kraj, trebisov",62
152,3496,1,0,23,"zilinsky kraj, zilina",72
161,3568,1,0,18,"zilinsky kraj, kysucke nove mesto",81
162,3598,1,1,22,"banskobystricky kraj, brezno",67
165,3719,1,0,0,"zilinsky kraj, kysucke nove mesto",74
157,3554,1,0,18,"zilinsky kraj, zilina",62
167,3784,1,1,19,"trnavsky kraj, sered",14
163,3641,1,0,0,"trenciansky kraj, nove mesto nad vahom",71
166,3776,1,1,20,"trenciansky kraj, nove mesto nad vahom",57
164,3673,1,0,0,"zilinsky kraj, zilina",72
171,3860,1,0,20,"zilinsky kraj, zilina",69
170,3818,1,1,20,"zilinsky kraj, cadca",55
150,3466,1,0,0,"presovsky kraj, humenne",71
168,3792,0,1,32,"trnavsky kraj, hlohovec",64
169,3804,1,1,0,"trnavsky kraj, trnava",76
177,3977,1,0,23,"zilinsky kraj, zilina",66
174,3936,1,0,0,"zilinsky kraj, zilina",12
175,3952,1,1,20,"banskobystricky kraj, banska bystrica",69
178,3979,1,0,0,"trnavsky kraj, trnava",53
176,3969,1,0,20,"zilinsky kraj, martin",76
179,3984,1,0,17,"zilinsky kraj, zilina",74
172,3908,1,1,0,"zilinsky kraj, namestovo",97
180,3991,1,0,17,"trnavsky kraj, trnava",28
182,4078,1,1,16,"banskobystricky kraj, brezno",72
173,3912,0,0,0,"zilinsky kraj, zilina",45
183,4157,1,0,21,"banskobystricky kraj, brezno",71
184,4163,1,0,16,"banskobystricky kraj, brezno",43
181,4020,1,1,20,"trenciansky kraj, prievidza",84
188,4238,1,0,0,"banskobystricky kraj, brezno",22
189,4241,1,1,18,"banskobystricky kraj, brezno",76
192,4294,1,1,20,"nitriansky kraj, nitra",24
193,4296,1,0,17,"nitriansky kraj, nove zamky",16
185,4168,1,0,0,"trenciansky kraj, dubnica nad vahom",59
194,4313,0,1,0,"zilinsky kraj, zilina",62
196,4353,1,0,19,"zilinsky kraj, dolny kubin",34
186,4170,0,0,17,"banskobystricky kraj, brezno",81
195,4321,1,1,19,"zilinsky kraj, cadca",79
197,4362,1,1,0,"zilinsky kraj, cadca",76
187,4213,1,0,21,"zilinsky kraj, kysucke nove mesto",66
190,4287,1,0,20,"banskobystricky kraj, brezno",24
191,4289,1,1,24,"banskobystricky kraj, brezno",71
199,4487,1,0,22,"zahranicie, zahranicie - ostatne",16
200,4502,1,1,19,"zilinsky kraj, turcianske teplice",88
201,4536,1,1,23,"trenciansky kraj, trencin",52
202,4537,1,1,26,"bratislavsky kraj, bratislava - devinska nova ves",12
198,4438,1,0,20,"banskobystricky kraj, banska bystrica",12
209,4671,0,0,0,"zahranicie, zahranicie - gb",53
211,4698,1,0,0,"zilinsky kraj, kysucke nove mesto",24
210,4673,0,0,20,"ceska republika, cz - praha",21
212,4699,1,1,21,"zilinsky kraj, zilina",64
206,4645,1,0,18,"banskobystricky kraj, brezno",71
214,4757,0,1,20,"bratislavsky kraj, bratislava - petrzalka",90
203,4595,1,1,26,"presovsky kraj, poprad",67
213,4705,1,1,0,"zilinsky kraj, zilina",16
204,4597,1,1,18,"zilinsky kraj, cadca",64
205,4598,1,1,0,"zilinsky kraj, cadca",84
207,4651,1,0,0,"zahranicie, zahranicie - ostatne",64
217,4817,0,0,18,"banskobystricky kraj, brezno",76
215,4766,1,0,21,"trnavsky kraj, hlohovec",86
216,4800,1,1,19,"zilinsky kraj, zilina",79
208,4665,1,0,18,"banskobystricky kraj, brezno",33
220,4893,1,1,17,"banskobystricky kraj, brezno",72
221,4917,1,0,24,"banskobystricky kraj, brezno",66
219,4856,1,1,21,"zilinsky kraj, namestovo",64
222,4972,1,1,0,"banskobystricky kraj, brezno",17
218,4830,0,1,18,"zilinsky kraj, zilina",91
223,5002,1,1,20,"banskobystricky kraj, brezno",62
227,5048,0,1,20,"zilinsky kraj, cadca",88
228,5054,1,1,20,"trnavsky kraj, trnava",66
229,5125,1,1,0,"banskobystricky kraj, zvolen",41
230,5129,1,1,21,"banskobystricky kraj, brezno",72
224,5006,1,1,0,"zilinsky kraj, bytca",62
226,5031,1,0,20,"zilinsky kraj, cadca",12
225,5007,1,1,17,"kosicky kraj, kosice - saca",76
231,5142,1,1,25,"zilinsky kraj, zilina",84
232,5145,1,1,18,"zilinsky kraj, zilina",53
233,5249,1,1,25,"trenciansky kraj, puchov",69
234,5309,1,1,35,"bratislavsky kraj, bratislava - nove mesto",60
239,5417,1,1,0,"zilinsky kraj, liptovsky mikulas",79
240,5421,1,0,18,"zilinsky kraj, kysucke nove mesto",22
241,5425,1,1,24,"zilinsky kraj, dolny kubin",64
243,5525,1,1,21,"zilinsky kraj, tvrdosin",59
235,5362,1,0,0,"zilinsky kraj, zilina",34
236,5377,1,1,18,"zilinsky kraj, zilina",74
237,5382,1,0,30,"zilinsky kraj, ruzomberok",95
242,5516,1,0,0,"zilinsky kraj, kysucke nove mesto",47
244,5544,1,0,21,"zahranicie, zahranicie - rakusko",14
238,5386,1,0,18,"zilinsky kraj, zilina",83
246,5599,1,0,18,"zilinsky kraj, cadca",31
245,5548,1,1,21,"banskobystricky kraj, brezno",71
248,5637,1,1,21,"zahranicie, zahranicie - usa",69
249,5638,0,1,20,"zilinsky kraj, tvrdosin",71
247,5626,1,1,20,"zilinsky kraj, dolny kubin",55
251,5792,1,1,19,"bratislavsky kraj, senec",69
252,5852,1,0,21,"banskobystricky kraj, detva",12
253,5867,1,1,0,"bratislavsky kraj, bratislava - stare mesto",86
250,5743,1,0,21,"zahranicie, zahranicie - ostatne",26
254,5889,1,0,19,"zilinsky kraj, cadca",67
255,5895,1,0,19,"zilinsky kraj, zilina",79
258,6032,1,1,16,"zilinsky kraj, dolny kubin",26
260,6062,1,0,18,"banskobystricky kraj, banska bystrica",33
259,6053,1,1,21,"banskobystricky kraj, brezno",52
257,5994,1,1,22,"trnavsky kraj, hlohovec",38
256,5935,1,1,0,"bratislavsky kraj, bratislava - ruzinov",12
261,6067,1,0,18,"banskobystricky kraj, banska bystrica",19
262,6144,1,0,18,"trnavsky kraj, sered",34
264,6228,1,0,0,"bratislavsky kraj, bratislava - stare mesto",62
263,6150,1,0,17,"trnavsky kraj, sered",86
266,6335,1,0,21,"zilinsky kraj, dolny kubin",76
267,6352,1,0,17,"bratislavsky kraj, bratislava - raca",84
268,6366,1,0,22,"zilinsky kraj, cadca",76
265,6298,1,0,18,"trnavsky kraj, sered",76
269,6455,1,0,19,"trnavsky kraj, sered",69
270,6472,1,0,19,"zilinsky kraj, bytca",29
271,6474,1,0,0,"zahranicie, zahranicie - nemecko",22
272,6478,1,0,23,"trenciansky kraj, trencin",98
273,6479,1,0,25,"ceska republika, cz - plzensky kraj",12
275,6577,1,0,20,"zilinsky kraj, bytca",19
276,6587,1,1,21,"kosicky kraj, trebisov",71
277,6596,1,0,18,"trnavsky kraj, hlohovec",29
274,6537,1,1,18,"banskobystricky kraj, brezno",74
283,6677,1,0,23,"zilinsky kraj, namestovo",74
280,6641,1,1,19,"zilinsky kraj, kysucke nove mesto",81
278,6601,1,0,19,"trnavsky kraj, hlohovec",67
281,6658,1,1,0,"zilinsky kraj, zilina",47
279,6630,1,0,18,"zilinsky kraj, turzovka",62
282,6660,1,1,0,"zilinsky kraj, kysucke nove mesto",81
286,6767,1,1,22,"zilinsky kraj, zilina",50
287,6771,1,1,23,"banskobystricky kraj, banska bystrica",79
284,6762,0,0,19,"nitriansky kraj, topolcany",69
290,6839,1,1,19,"banskobystricky kraj, brezno",76
288,6796,0,1,31,"banskobystricky kraj, brezno",60
285,6763,1,1,0,"zilinsky kraj, zilina",83
289,6810,0,1,16,"trenciansky kraj, nemsova",59
294,7067,1,0,15,"presovsky kraj, spisska bela",76
293,7057,1,1,18,"zilinsky kraj, bytca",84
292,7032,1,1,19,"banskobystricky kraj, banska bystrica",38
295,7098,0,0,0,"banskobystricky kraj, rimavska sobota",84
291,7000,1,0,0,"zilinsky kraj, zilina",45
299,7236,1,1,21,"zahranicie, zahranicie - gb",84
296,7210,1,0,18,"banskobystricky kraj, brezno",67
297,7227,1,1,0,"zahranicie, zahranicie - australia",83
302,7295,1,1,21,"zilinsky kraj, cadca",21
303,7311,1,0,0,"banskobystricky kraj, revuca",67
301,7272,1,0,18,"zilinsky kraj, zilina",12
298,7229,1,0,20,"zilinsky kraj, cadca",64
304,7313,1,1,19,"banskobystricky kraj, banska bystrica",69
305,7352,1,1,21,"zilinsky kraj, zilina",67
300,7246,0,1,0,"bratislavsky kraj, bratislava - petrzalka",79
307,7429,1,1,25,"banskobystricky kraj, brezno",62
308,7433,1,0,17,"banskobystricky kraj, brezno",78
309,7436,1,1,16,"banskobystricky kraj, detva",90
310,7459,1,0,18,"zilinsky kraj, zilina",64
306,7358,1,1,0,"zahranicie, zahranicie - francuzsko",16
317,7607,1,1,0,"banskobystricky kraj, brezno",57
315,7556,1,1,17,"presovsky kraj, levoca",72
311,7481,1,0,0,"zahranicie, zahranicie - gb",36
313,7519,1,1,32,"bratislavsky kraj, bratislava - ostatne",12
316,7604,1,0,16,"banskobystricky kraj, brezno",84
319,7661,1,0,0,"zahranicie, zahranicie - francuzsko",12
322,7685,0,0,0,"presovsky kraj, vranov nad toplou",12
318,7644,1,1,0,"zilinsky kraj, zilina",52
312,7516,1,1,0,"presovsky kraj, presov",38
320,7674,1,0,22,"kosicky kraj, kosice - zapad",72
326,7749,1,0,22,"zilinsky kraj, cadca",69
314,7531,1,0,16,"banskobystricky kraj, brezno",74
329,7789,1,0,0,"banskobystricky kraj, brezno",28
321,7678,1,0,0,"nitriansky kraj, levice",76
325,7737,1,0,19,"nitriansky kraj, nove zamky",19
328,7782,1,1,36,"nitriansky kraj, levice",40
327,7768,1,0,0,"zilinsky kraj, kysucke nove mesto",26
330,7805,1,0,21,"zilinsky kraj, cadca",12
331,7810,1,0,23,"banskobystricky kraj, tornala",50
340,7894,1,0,0,"bratislavsky kraj, bratislava - okolie",17
334,7837,0,0,18,"zilinsky kraj, turzovka",24
333,7831,1,1,26,"banskobystricky kraj, brezno",76
332,7815,0,0,0,"zilinsky kraj, cadca",57
323,7722,1,0,22,"presovsky kraj, vranov nad toplou",69
341,7922,1,0,18,"zilinsky kraj, zilina",74
344,7941,0,0,0,"kosicky kraj, gelnica",100
347,7970,1,0,18,"zilinsky kraj, bytca",38
324,7724,1,0,21,"banskobystricky kraj, brezno",72
349,7999,1,1,27,"banskobystricky kraj, rimavska sobota",62
350,8015,1,0,0,"presovsky kraj, spisska bela",45
335,7841,1,1,0,"zahranicie, zahranicie - gb",17
348,7991,1,1,0,"zilinsky kraj, dolny kubin",84
342,7931,1,0,17,"zilinsky kraj, zilina",26
338,7887,1,0,25,"zilinsky kraj, martin",72
345,7949,1,0,20,"zilinsky kraj, dolny kubin",83
343,7933,1,0,20,"nitriansky kraj, nove zamky",72
339,7891,1,0,20,"zilinsky kraj, zilina",83
336,7867,1,0,0,"zilinsky kraj, turcianske teplice",69
337,7871,1,1,0,"zilinsky kraj, martin",67
356,8077,1,0,0,"zilinsky kraj, zilina",14
358,8121,0,0,19,"zilinsky kraj, turzovka",79
357,8089,1,0,0,"zilinsky kraj, ruzomberok",12
353,8066,1,0,19,"zahranicie, zahranicie - australia",79
354,8067,1,1,19,"zahranicie, zahranicie - usa",14
355,8071,1,0,17,"zilinsky kraj, zilina",47
351,8031,1,0,21,"zilinsky kraj, zilina",71
359,8163,1,0,18,"zilinsky kraj, cadca",28
361,8213,1,1,20,"banskobystricky kraj, brezno",74
352,8055,1,0,17,"banskobystricky kraj, brezno",71
346,7966,1,0,0,"zilinsky kraj, martin",19
362,8232,1,0,0,"zilinsky kraj, zilina",16
364,8255,0,0,19,"trnavsky kraj, galanta",79
366,8362,1,0,20,"zilinsky kraj, rajecke teplice",36
365,8350,1,1,0,"zilinsky kraj, cadca",83
369,8433,1,1,21,"zilinsky kraj, zilina",50
360,8174,1,0,0,"zilinsky kraj, turzovka",59
370,8434,1,0,0,"zilinsky kraj, cadca",50
368,8422,1,0,22,"nitriansky kraj, sala",76
367,8413,1,0,3,"zilinsky kraj, zilina",34
371,8463,1,1,19,"zilinsky kraj, zilina",69
363,8246,1,1,20,"zilinsky kraj, cadca",40
375,8541,1,1,20,"banskobystricky kraj, banska stiavnica",59
379,8611,1,0,19,"zilinsky kraj, bytca",64
372,8467,1,1,22,"zilinsky kraj, cadca",16
376,8558,1,0,0,"bratislavsky kraj, bratislava - raca",76
373,8514,1,1,19,"trenciansky kraj, partizanske",97
380,8643,1,1,23,"zilinsky kraj, cadca",67
378,8609,1,0,0,"zilinsky kraj, zilina",84
377,8580,1,0,18,"zilinsky kraj, zilina",69
384,8668,1,1,0,"zahranicie, zahranicie - francuzsko",24
374,8521,1,1,0,"trnavsky kraj, leopoldov",24
387,8810,1,1,18,"zilinsky kraj, krasno nad kysucou",81
381,8646,1,1,23,"zilinsky kraj, cadca",48
382,8647,1,0,19,"zilinsky kraj, turzovka",69
388,8824,1,0,16,"zilinsky kraj, namestovo",100
383,8651,1,1,21,"bratislavsky kraj, stupava",93
389,8844,1,1,18,"zilinsky kraj, cadca",72
391,8885,1,0,0,"banskobystricky kraj, banska bystrica",17
395,8898,1,1,19,"zilinsky kraj, cadca",64
396,8899,1,0,19,"zilinsky kraj, cadca",55
390,8876,1,0,18,"banskobystricky kraj, brezno",38
392,8890,1,1,23,"banskobystricky kraj, brezno",72
397,8934,1,0,17,"zahranicie, zahranicie - usa",36
393,8893,1,0,19,"zilinsky kraj, cadca",74
394,8894,1,1,20,"banskobystricky kraj, brezno",50
385,8789,1,1,22,"zilinsky kraj, bytca",41
386,8790,1,1,0,"zahranicie, zahranicie - ostatne",26
398,8969,1,1,23,"banskobystricky kraj, banska bystrica",66
401,9093,1,0,21,"banskobystricky kraj, brezno",66
399,8999,1,1,20,"banskobystricky kraj, brezno",72
402,9170,1,1,25,"banskobystricky kraj, brezno",60
400,9060,0,1,26,"trnavsky kraj, trnava",76
404,9227,1,0,20,"banskobystricky kraj, brezno",14
403,9205,1,1,21,"banskobystricky kraj, brezno",76
408,9322,1,0,0,"zilinsky kraj, cadca",72
409,9325,1,1,23,"zilinsky kraj, cadca",14
405,9250,1,0,20,"zahranicie, zahranicie - australia",60
410,9364,1,0,18,"banskobystricky kraj, brezno",43
413,9423,1,0,20,"banskobystricky kraj, brezno",78
412,9383,1,0,19,"zilinsky kraj, cadca",72
411,9370,1,0,19,"banskobystricky kraj, brezno",66
406,9294,1,0,16,"trenciansky kraj, nove mesto nad vahom",90
407,9313,1,1,19,"zilinsky kraj, zilina",81
414,9432,1,1,19,"zilinsky kraj, turzovka",24
415,9602,1,0,0,"zilinsky kraj, zilina",48
416,9604,1,0,19,"zahranicie, zahranicie - gb",64
417,9610,1,0,25,"presovsky kraj, poprad",66
419,9698,1,1,35,"banskobystricky kraj, lucenec",69
418,9624,1,0,18,"zilinsky kraj, zilina",53
421,9754,1,1,23,"zilinsky kraj, zilina",74
420,9716,1,1,18,"nitriansky kraj, hurbanovo",76
422,9827,1,0,20,"kosicky kraj, trebisov",64
423,9855,1,1,19,"banskobystricky kraj, brezno",47
424,9914,1,1,17,"zilinsky kraj, zilina",76
427,10042,1,0,19,"presovsky kraj, poprad",64
428,10043,1,0,20,"nitriansky kraj, nove zamky",48
431,10101,1,1,0,"banskobystricky kraj, brezno",66
429,10088,1,0,21,"banskobystricky kraj, brezno",14
434,10187,1,0,0,"zilinsky kraj, bytca",78
430,10093,1,1,18,"banskobystricky kraj, hrinova",67
425,9957,0,1,0,"presovsky kraj, presov",41
433,10181,1,1,21,"zilinsky kraj, cadca",12
426,9960,1,1,18,"banskobystricky kraj, banska bystrica",48
437,10213,1,0,20,"banskobystricky kraj, krupina",69
435,10195,0,0,0,"zahranicie, zahranicie - gb",34
436,10197,1,0,17,"presovsky kraj, spisska bela",88
439,10301,1,0,24,"banskobystricky kraj, brezno",79
441,10372,1,1,22,"nitriansky kraj, zlate moravce",74
442,10375,1,1,21,"banskobystricky kraj, hnusta",53
440,10348,1,1,19,"banskobystricky kraj, banska bystrica",57
432,10163,1,1,0,"kosicky kraj, kosice - zapad",69
444,10447,1,0,21,"banskobystricky kraj, banska bystrica",71
445,10487,0,0,16,"bratislavsky kraj, bratislava - nove mesto",29
438,10270,1,0,17,"zahranicie, zahranicie - gb",76
443,10390,1,1,24,"banskobystricky kraj, brezno",64
446,10505,1,1,0,"zilinsky kraj, cadca",36
447,10544,1,1,33,"zilinsky kraj, ruzomberok",12
451,10711,1,1,21,"zilinsky kraj, cadca",79
449,10586,1,0,21,"trenciansky kraj, prievidza",47
452,10725,1,1,18,"zilinsky kraj, cadca",43
453,10761,1,0,21,"zilinsky kraj, cadca",78
454,10762,1,1,22,"zilinsky kraj, cadca",71
448,10574,1,0,0,"zilinsky kraj, turzovka",21
450,10679,0,1,54,"banskobystricky kraj, nova bana",21
455,10857,1,0,0,"banskobystricky kraj, brezno",86
458,10966,1,1,19,"banskobystricky kraj, brezno",66
457,10932,1,1,0,"zilinsky kraj, cadca",81
459,11059,1,0,18,"banskobystricky kraj, brezno",72
456,10905,1,1,23,"presovsky kraj, spisska bela",72
464,11151,1,0,20,"zilinsky kraj, cadca",81
462,11118,0,1,20,"presovsky kraj, levoca",86
465,11170,1,0,21,"banskobystricky kraj, brezno",50
463,11123,1,1,18,"nitriansky kraj, nove zamky",83
460,11095,1,0,19,"trnavsky kraj, piestany",19
461,11107,1,0,0,"banskobystricky kraj, brezno",78
468,11236,0,1,0,"nitriansky kraj, nitra",52
469,11300,0,1,19,"kosicky kraj, spisska nova ves",28
470,11320,1,1,19,"zilinsky kraj, zilina",40
473,11359,1,0,17,"zilinsky kraj, cadca",72
467,11235,1,1,0,"nitriansky kraj, vrable",22
476,11446,0,0,15,"trenciansky kraj, povazska bystrica",100
477,11450,1,0,0,"trenciansky kraj, trencin",12
471,11337,1,0,18,"banskobystricky kraj, zvolen",79
472,11338,1,0,18,"banskobystricky kraj, velky krtis",33
478,11453,1,1,0,"presovsky kraj, presov",78
474,11424,1,1,28,"zilinsky kraj, martin",72
466,11220,1,0,21,"banskobystricky kraj, brezno",66
480,11571,1,0,19,"zilinsky kraj, zilina",21
475,11430,0,0,0,"kosicky kraj, michalovce",71
482,11645,1,0,0,"zahranicie, zahranicie - usa",28
484,11718,0,1,0,"zilinsky kraj, ruzomberok",48
485,11733,1,0,0,"zilinsky kraj, cadca",67
483,11712,1,1,20,"zilinsky kraj, trstena",36
479,11534,1,0,18,"zilinsky kraj, zilina",47
481,11638,1,0,22,"zilinsky kraj, kysucke nove mesto",36
486,11874,1,0,0,"ceska republika, cz - zlinsky kraj",14
487,11875,1,0,19,"zilinsky kraj, martin",12
